?
A-7D Corsair
AAC-1 Toucan
AEGK
AT L98 Carvair
ATR 42-300
ATR 42-320
ATR 72-201
ATR 72-500
ATR 72-600
ATR-42-300
ATR-42-320
ATR-42-500
ATR-72-202
ATR-72-212
ATR-72-212A
ATR-72-50
ATR42-320
Aermacchi MB-339PAN (3 aircraft)
Aero Commander  520
Aero Commander 500-B
Aero Commander 500A
Aero Commander 560
Aero Commander 560-A
Aero Commander 560-F
Aero Commander 680
Aero Commander 680-E
Aero Commander 680E
Aero Commander 680F
Aero Commander 681
Aero Commander AC 520
Aerocomp Comp Air 8
Aeroflot
Aeromarine Model 85 (flying boat)
Aerospatiale 330G Puma
Aerospatiale 330J Puma
Aerospatiale 350B1
Aerospatiale 350D
Aerospatiale AS 332L1 Super Puma
Aerospatiale AS 350B2 Ecureuil
Aerospatiale AS-350 B2 Ecureuil
Aerospatiale AS-350B
Aerospatiale AS-350BA
Aerospatiale AS350
Aerospatiale AS350 Eurocopter  helicoper
Aerospatiale AS350BA
Aerospatiale AS350BA Rotocraft
Aerospatiale AS350D
Aerospatiale AS355-F1
Aerospatiale ATR-42-300
Aerospatiale ATR-42-512
Aerospatiale ATR-72
Aerospatiale Alenia ATR-42
Aerospatiale Alenia ATR-42-312
Aerospatiale BAe Concorde 101
Aerospatiale Caravelle 10B3
Aerospatiale Caravelle 10R
Aerospatiale Caravelle 3
Aerospatiale Caravelle 6N
Aerospatiale Caravelle 6R
Aerospatiale Caravelle Super 10B
Aerospatiale Corvette
Aerospatiale Nord 262A-33
Aerospatiale Puma
Aerospatiale SA-330J
Aerospatiale SA316B
Aerospatiale SA365N-1 Dauphin II
Aerospatiale SN-601 Corvette
Aerospeciale AS-350D
Aerostar 601
Aerostar 601P
Agusta A109A MK II
Airbus A-300-605R
Airbus A-310-204
Airbus A-310-304F
Airbus A-310-324
Airbus A-310-324ET
Airbus A-320-216
Airbus A-320-233
Airbus A-330-243
Airbus A-340
Airbus A.300B4-203
Airbus A.320-214
Airbus A.330-301
Airbus A300
Airbus A300-600R
Airbus A300-622R
Airbus A300-B4-200
Airbus A300B2-101
Airbus A300B2-1C
Airbus A300B2-203
Airbus A300B4-203
Airbus A300B4-203F
Airbus A300B4-622R
Airbus A300F-622R
Airbus A310-304
Airbus A310-324
Airbus A320-111
Airbus A320-211
Airbus A320-212
Airbus A320-214
Airbus A320-231
Airbus A320-232
Airbus A321-111
Airbus A321-231
Airbus A330-202
Airbus A330-203
Airbus A330-321
AirbusA310-304
Airship
Airspeed AS-65 Consul
Airspeed AS.57 Ambassador 2
Airspeed Ambassador AS-57
Airspeed Oxford
Antonov 10A
Antonov 12
Antonov 12B
Antonov 12BK
Antonov 12BP
Antonov 12MGA
Antonov 12V
Antonov 24
Antonov 24B
Antonov 26
Antonov 26B
Antonov 26B-100
Antonov 28
Antonov 2PF
Antonov 2R
Antonov 2TP
Antonov 32
Antonov 32B
Antonov 74T-200
Antonov 74TK-200
Antonov 74TK-300
Antonov AN-10
Antonov AN-10A
Antonov AN-12
Antonov AN-12 (freighter)
Antonov AN-124
Antonov AN-124-100
Antonov AN-12A
Antonov AN-12B
Antonov AN-12BP
Antonov AN-12V
Antonov AN-140
Antonov AN-140-100
Antonov AN-148-100
Antonov AN-2
Antonov AN-22
Antonov AN-22A
Antonov AN-24
Antonov AN-24 / Yakovlev Yak-40
Antonov AN-24B
Antonov AN-24N
Antonov AN-24RV
Antonov AN-24RV / Soviet Air Force TU-16
Antonov AN-24V
Antonov AN-26
Antonov AN-26-100
Antonov AN-26A
Antonov AN-26B
Antonov AN-26V
Antonov AN-28
Antonov AN-28 PZL-Mielec M-28 Sky Truck
Antonov AN-2R
	
Antonov AN-2R
Antonov AN-2TP
Antonov AN-30
Antonov AN-32
Antonov AN-32 Transport
Antonov AN-32A
Antonov AN-32B
Antonov AN-72
Antonov AN-72-100D
Antonov AN-8
Antonov AN-9
Antonov An-10
Antonov An-10A
Antonov An-12
Antonov An-124
Antonov An-12AP
Antonov An-12B
Antonov An-12BK
Antonov An-12BP
Antonov An-12PL
Antonov An-12TB
Antonov An-14
Antonov An-2
Antonov An-2 / Antonov An-12
Antonov An-2 / Mil Mi-8T
Antonov An-24
Antonov An-24 V
Antonov An-24B
Antonov An-24RV
Antonov An-26
Antonov An-26-100
Antonov An-28
Antonov An-2R
Antonov An-2T
Antonov An-2TP
Antonov An-32
Antonov An-32B
Antonov An-72
Antonv An-24B
Antonv An-28
Arado V1
Arava 201
Armstrong Whitworth Argosy C-1
